time,matsuoka_y1,matsuoka_y2,hopf_x,hopf_y,joint_0,joint_1,hopf_radius
0.0,0.13,0.03333333333333333,0.11157732552223332,-0.007475875051281459,0.15231546510444666,0.03183815832307704,0.11182749339262144
0.01,0.158637399869815,0.05874851098092611,0.11305553459570838,-0.001932098667655392,0.18124850678895668,0.05836209124739503,0.1130720429990675
0.02,0.18454217805202125,0.08140421508905826,0.11426896334440148,0.003743906701145169,0.20739597072090155,0.08215299642928729,0.11433027954654466
0.03,0.20796219266686516,0.1015492883458775,0.11520802929406984,0.00953983566839827,0.23100379852567915,0.10345725547955714,0.11560232903537583
0.04,0.2291227956732097,0.11941010367732492,0.11586371251616684,0.015442775410451125,0.25229553817644307,0.12249865875941515,0.11688831930696322
0.05,0.24822885883542486,0.13519259057105584,0.11622758960812983,0.02143922980356892,0.27147437675705083,0.1394804365317696,0.11818837997318554
0.06,0.26546661870724375,0.14908408040745713,0.11629186690143092,0.027515145306207682,0.28872499208752994,0.15458710946869866,0.11950264235004114
0.07,0.2810053568196581,0.1612549869844263,0.11604941280164112,0.03365593858700525,0.30421523937998635,0.16798617470182736,0.12083123939519108
0.08,0.2949989298094602,0.1718603369721061,0.11549378916261646,0.03984652589240786,0.3180976876419835,0.17982964215058767,0.1221743056490735
0.09,0.30758716290439614,0.18104116371312118,0.1146192815952317,0.04607135414131336,0.3305110192234425,0.19025543454138386,0.12353197717927666
0.1,0.3188971189784621,0.1889257765814268,0.11342092860986755,0.052314433727451565,0.34158130470043563,0.19938866332691713,0.12490439152787461
0.11,0.3290442542960775,0.1956309170180764,0.1118945494911019,0.05855937300346917,0.35142316419429787,0.20734279161877023,0.12629168766144544
0.12,0.33813347106707925,0.20126281136542168,0.11003677080276439,0.06478941441387462,0.36014082522763213,0.2142206942481966,0.12769400592350796
0.13,0.3462600760269333,0.20591812971370632,0.1078450514216837,0.0709874722371554,0.36782908631127004,0.2201156241611374,0.12911148798912708
0.14,0.35351065343026866,0.20968485914771975,0.10531770599908524,0.07713617189053618,0.37457419463008573,0.22511209352582698,0.13054427682145278
0.15,0.359963860093545,0.21264309902887996,0.10245392674967702,0.0832178907440281,0.3804546454434804,0.22928667717768558,0.13199251662997105
0.16,0.36569114943774456,0.21486578526318864,0.09925380346998866,0.08921480038365379,0.38554191013174227,0.2327087453399194,0.13345635283025806
0.17,0.37075743085841,0.2164193498819314,0.09571834168949427,0.09510891025704324,0.3899010991963089,0.23544113193334004,0.13493593200504111
0.18,0.37522167018264774,0.21736432169428882,0.09184947886044581,0.1008821126280095,0.3935915659547369,0.23754074421989071,0.13643140186638072
0.19,0.379137436455886,0.21775587325419113,0.08765009849516232,0.10651622876024991,0.39666745615491844,0.2390591190062411,0.1379429112187993
0.2,0.3825533998306698,0.2176443189132387,0.0831240421627489,0.11199305624400402,0.3991782082632196,0.2400429301620395,0.1394706099231917
0.21,0.38551378490145083,0.2170755683031838,0.07827611926085064,0.1172944173733531,0.40116900875362094,0.24053445177785443,0.14101464886136217
0.22,0.3880587834394192,0.21609153920155547,0.07311211448206564,0.12240220847589019,0.4026812063358323,0.2405719808967335,0.14257517990104013
0.23,0.39022493012649406,0.21473053337907552,0.0676387928990389,0.12729845009074342,0.4037526887063018,0.2401902233972242,0.1441523558612365
0.24,0.39204544456451057,0.21302757870443317,0.061863902597019335,0.13196533788541936,0.40441822508391445,0.23942064628151705,0.14574633047780788
0.25,0.39355054254157174,0.21101474048791383,0.05579617478777476,0.13638529419666529,0.4047097774991267,0.2382917993272469,0.14735725836910393
0.26,0.39476771926987875,0.20872140477772017,0.049445321344207434,0.14054102007554778,0.40465678353872025,0.23682960879282972,0.14898529500157878
0.27,0.39572200706575344,0.20617453607922265,0.04282202970078243,0.14441554771222842,0.40428641300590995,0.23505764562166834,0.15063059665525333
0.28,0.3964362097208737,0.2033989117456814,0.03593795507095644,0.14799229311150006,0.403623800735065,0.2329973703679814,0.15229332038892
0.29,0.3969311156119983,0.2004173350872357,0.028805709939158996,0.1512551088860474,0.4026922575998301,0.23066835686444517,0.1539736240049867
0.3,0.39722569141288094,0.197250829061379,0.021438850791515137,0.15418833703062704,0.40151346157118395,0.2280884964675044,0.155671666013861
0.31,0.39733725810503945,0.19391881224110327,0.013851862056390152,0.15677686153693932,0.4001076305163175,0.22527418454849113,0.1573876055977786
0.32,0.39728165083208,0.19043925860492855,0.0060601372329651135,0.15900616070590154,0.39849367827867305,0.22224049074610885,0.1591216025739854
0.33,0.3970733640040295,0.18682884255478638,-0.0019200428066021092,0.16086235901134038,0.39668935544270906,0.21900131435705444,0.16087381735718387
0.34,0.396725682932376,0.18310307044197263,-0.010071534348331388,0.16233227836681438,0.3947113760627097,0.2155695261153355,0.16264441092115808
0.35000000000000003,0.3962508031621439,0.17927639976701118,-0.018376358200068693,0.16340348864536425,0.39257553152213015,0.21195709749608405,0.1644335447594952
0.36,0.3956599385633165,0.17536234711525597,-0.026815729878925422,0.16406435730048044,0.3902967925875314,0.20817521857535207,0.16624138084532142
0.37,0.3949634191493405,0.17137358579548143,-0.035370092605787336,0.164304097935482,0.38788940062818306,0.20423440538257784,0.16806808158997483
0.38,0.3941707795044602,0.16732203406272464,-0.04401915308203692,0.16411281766782723,0.38536694888805284,0.20014459759629008,0.16991380980053772
0.39,0.39329083862346553,0.16321893472847993,-0.05274192001540314,0.16348156313463025,0.3827424546203849,0.19591524735540597,0.17177872863615354
0.4,0.3923317718963968,0.1590749268903062,-0.06151674535354997,0.16240236498584606,0.3800284228256868,0.1915553998874754,0.1736630015630545
