time,x,y,radius,mu,omega
0.0,-0.03420711384109149,-0.01398522794274367,0.036955557605695674,4.0,6.283185307179586
0.01,-0.03469621343637906,-0.0166937424132177,0.03850335391341427,4.0,6.283185307179586
0.02,-0.035034648829077523,-0.019541272008418036,0.04011593112821595,4.0,6.283185307179586
0.03,-0.03520765664219668,-0.022523900321073466,0.04179599468739163,4.0,6.283185307179586
0.04,-0.035200129467932294,-0.02563662517188152,0.043546362244884985,4.0,6.283185307179586
0.05,-0.03499667048558414,-0.02887329339794603,0.04536996822481178,4.0,6.283185307179586
0.06,-0.03458165439315892,-0.0322265364541231,0.04726986854643043,4.0,6.283185307179586
0.07,-0.03393929485890516,-0.03568770725732523,0.04924924552522861,4.0,6.283185307179586
0.08,-0.033053718680813034,-0.03924681873443037,0.05131141295465916,4.0,6.283185307179586
0.09,-0.03190904682128737,-0.0428924845652137,0.0534598213728797,4.0,6.283185307179586
0.1,-0.03048948246065134,-0.04661186264252296,0.0556980635186161,4.0,6.283185307179586
0.11,-0.02877940618674726,-0.05039060180260056,0.058029879979972714,4.0,6.283185307179586
0.12,-0.026763478408559138,-0.054212792408851886,0.060459165039642083,4.0,6.283185307179586
0.13,-0.024426749049383575,-0.05806092140229504,0.06298997271951341,4.0,6.283185307179586
0.14,-0.021754774539519166,-0.06191583246121386,0.06562652302712993,4.0,6.283185307179586
0.15,-0.018733742089633104,-0.06575669194097593,0.06837320840578787,4.0,6.283185307179586
0.16,-0.015350601183805834,-0.06956096129235924,0.07123460038928668,4.0,6.283185307179586
0.17,-0.011593202185664474,-0.07330437668283438,0.07421545646141757,4.0,6.283185307179586
0.18,-0.007450441901913328,-0.07696093656983853,0.07732072711919162,4.0,6.283185307179586
0.19,-0.002912415894881135,-0.08050289799790968,0.08055556313754256,4.0,6.283185307179586
0.2,0.0020294227206379654,-0.08390078241236466,0.08392532303176438,4.0,6.283185307179586
0.21,0.007382098321031462,-0.08712339180073587,0.08743558071223584,4.0,6.283185307179586
0.22,0.013150942046615665,-0.09013783598914346,0.09109213332400977,4.0,6.283185307179586
0.23,0.019339415759747774,-0.0929095719338797,0.09490100926157292,4.0,6.283185307179586
0.24,0.02594893121608703,-0.0954024558584082,0.09886847634647124,4.0,6.283185307179586
0.25,0.032978665052215764,-0.09757880909240887,0.1030010501525058,4.0,6.283185307179586
0.26,0.04042537027220048,-0.09939949847208913,0.10730550245978704,4.0,6.283185307179586
0.27,0.04828318499901771,-0.10082403215937215,0.11178886981503784,4.0,6.283185307179586
0.28,0.05654343934411777,-0.10181067173138536,0.11645846217110131,4.0,6.283185307179586
0.29,0.06519446133977944,-0.1023165613805031,0.12132187157357183,4.0,6.283185307179586
0.3,0.07422138297434455,-0.10229787504861619,0.1263869808567584,4.0,6.283185307179586
0.31,0.08360594746993827,-0.10170998229684855,0.13166197230472937,4.0,6.283185307179586
0.32,0.09332631904590069,-0.10050763368311903,0.1371553362258913,4.0,6.283185307179586
0.33,0.10335689651890217,-0.09864516638421682,0.14287587938133178,4.0,6.283185307179586
0.34,0.11366813220260674,-0.09607673075583328,0.14883273319790297,4.0,6.283185307179586
0.35000000000000003,0.12422635768580426,-0.09275653847262491,0.1550353616866324,4.0,6.283185307179586
0.36,0.1349936181881634,-0.08863913283015747,0.16149356897540515,4.0,6.283185307179586
0.37,0.1459275173171658,-0.08367968172070635,0.16821750635183735,4.0,6.283185307179586
0.38,0.15698107417835397,-0.0778342937144763,0.17521767869773083,4.0,6.283185307179586
0.39,0.16810259492372676,-0.07106035758586032,0.18250495018031948,4.0,6.283185307179586
0.4,0.17923556095987264,-0.06331690551976389,0.1900905490475498,4.0,6.283185307179586
0.41000000000000003,0.1903185361781284,-0.054565000114513894,0.19798607135473564,4.0,6.283185307179586
0.42,0.20128509571350103,-0.044768145164025726,0.20620348342794928,4.0,6.283185307179586
0.43,0.21206377888701705,-0.03389272005110377,0.21475512284530993,4.0,6.283185307179586
0.44,0.2225780691371696,-0.021908437414178986,0.22365369769078633,4.0,6.283185307179586
0.45,0.23274640389966,-0.008788823559387045,0.23291228380611811,4.0,6.283185307179586
0.46,0.24248221754991253,0.0054882791236509215,0.24254431973489343,4.0,6.283185307179586
0.47000000000000003,0.25169402067884805,0.020940188723256828,0.2525635990186432,4.0,6.283185307179586
0.48,0.26028551912776876,0.037578840593144126,0.26298425946800885,4.0,6.283185307179586
0.49,0.2681557763611434,0.05541022591442655,0.2738207689926667,4.0,6.283185307179586
0.5,0.27519942290428423,0.07443381391581669,0.28508790753187957,4.0,6.283185307179586
0.51,0.2813069167134213,0.09464196000993982,0.2968007445835249,4.0,6.283185307179586
0.52,0.28636485847478205,0.11601930252133798,0.30897461178358926,4.0,6.283185307179586
0.53,0.29025636594230503,0.13854215114714954,0.3216250699409375,4.0,6.283185307179586
0.54,0.2928615115147712,0.1621778708092211,0.3347678698843855,4.0,6.283185307179586
0.55,0.294057827315319,0.18688426513123085,0.34841890643167767,4.0,6.283185307179586
0.56,0.293720882060866,0.21260896441091018,0.36259416474412937,4.0,6.283185307179586
0.5700000000000001,0.29172493398546046,0.23928882366001664,0.3773096582880112,4.0,6.283185307179586
0.58,0.2879436639975667,0.26684933705717473,0.39258135758616614,4.0,6.283185307179586
0.59,0.282250993092009,0.29520407600401755,0.40842510891326345,4.0,6.283185307179586
0.6,0.27452198778550224,0.3242541588948459,0.42485654206838736,4.0,6.283185307179586
0.61,0.26463385698041864,0.35388776170398295,0.44189096635277314,4.0,6.283185307179586
