time,x,y,radius,phase
0.0,-0.04820966910616356,-0.023154651318108274,0.053481866767989265,-2.6938365148210157
0.01,-0.047235537201655554,-0.026414638382383705,0.054119581443328665,-2.6317050701369262
0.02,-0.046046828400493,-0.02964590743340023,0.05476486312677303,-2.569573583348295
0.03,-0.04464320835248233,-0.03283468492705589,0.05541780026545784,-2.507442053447463
0.04,-0.043025205284892405,-0.0359670388874748,0.05607848229169775,-2.4453104794027753
0.05,-0.04119422857992537,-0.039028931563130156,0.05674699963218,-2.383178860158016
0.06,-0.03915258422660288,-0.04200627377807352,0.05742344371717617,-2.321047194631827
0.07,-0.03690348700912345,-0.04488498079869336,0.05810790698976874,-2.2589154817171204
0.08,-0.03445106930365354,-0.04765102952594635,0.05880048291508965,-2.196783720280467
0.09,-0.03180038636618035,-0.050290516813042474,0.05950126598956745,-2.1346519091614833
0.1,-0.02895741800545339,-0.052789718699172754,0.06021035175017952,-2.0725200471721914
0.11,-0.025929066547146565,-0.05513515034109855,0.060927836783705815,-2.0103881330963747
0.12,-0.022723151008150567,-0.05731362641632363,0.061653818735980366,-1.9482561656889141
0.13,-0.01934839741332145,-0.059312321764194785,0.062388396321136505,-1.8861241436751082
0.14,-0.015814425201026237,-0.06111883202467041,0.06313166933084163,-1.8239920657499802
0.15,-0.012131729678398463,-0.06272123402870439,0.0638837386435174,-1.7618599305775682
0.16,-0.008311660502299461,-0.064108145689259,0.06464470623354043,-1.699727736790199
0.17,-0.004366396177526831,-0.0652687851379252,0.06541467518041931,-1.6375954829877464
0.18,-0.00030891457976765097,-0.06619302884902989,0.06619374967794237,-1.57546316773687
0.19,0.0038470404728938937,-0.06687146849098408,0.06698203504329171,-1.5133307895702406
0.2,0.008086996559494294,-0.06729546624350308,0.06777963772611753,-1.4511983469857448
0.21,0.012395793849464876,-0.06745720831924185,0.06858666531756755,-1.3890658384456729
0.22,0.016757630075368707,-0.06734975642935791,0.06940322655926551,-1.3269332623758885
0.23,0.02115610919367096,-0.06696709693456517,0.07022943135223278,-1.2648006171649793
0.24,0.025574293624933544,-0.06630418742639053,0.07106539076574646,-1.202667901163388
0.25,0.029994759947669335,-0.0653570004876065,0.07191121704612782,-1.1405351126825252
0.26,0.03439965790303029,-0.06412256438619592,0.07276702362545383,-1.0784022499938601
0.27,0.038770772550608804,-0.06259900046371622,0.0736329251301847,-1.0162693113279935
0.28,0.04308958939897515,-0.06078555698656927,0.07450903738970012,-0.9541362948737075
0.29,0.04733736231822954,-0.05868263923744753,0.07539547744473639,-0.8920031987769962
0.3,0.051495184025888534,-0.056291835634108146,0.0762923635557162,-0.8298700211400728
0.31,0.055544058921926834,-0.053615939673611564,0.077199815210963,-0.7677367600203562
0.32,0.059464978033830974,-0.05065896751223233,0.07811795313479104,-0.7056034134294337
0.33,0.06323899581816415,-0.047426171004384746,0.0790468992954621,-0.6434699793320022
0.34,0.0668473085514655,-0.04392404603807692,0.07998677691299941,-0.5813364556447846
0.35000000000000003,0.07027133403038367,-0.04016033601958214,0.08093771046684917,-0.5192028402354232
0.36,0.07349279228884471,-0.036144030376158445,0.08189982570337948,-0.4570691309213476
0.37,0.07649378702884764,-0.031885357962714446,0.08287324964320596,-0.3949353254686198
0.38,0.07925688745123392,-0.027395775276264776,0.08385811058833345,-0.3328014215907516
0.39,0.0817652101635555,-0.02268794940079099,0.08485453812910215,-0.2706674169474975
0.4,0.0840025008340315,-0.01777573562466675,0.08586266315092672,-0.20853330914362114
0.41000000000000003,0.08595321525359692,-0.012674149693059841,0.08688261784081586,-0.14639909572763443
0.42,0.08760259946226226,-0.007399334678622569,0.08791453569366,-0.08426477419050983
0.43,0.08893676859147606,-0.001968522475257628,0.0889585515182737,-0.02213034196436434
0.44,0.08994278407096007,0.003600010058274576,0.09001480144317947,0.04000420357888466
0.45,0.09060872884661496,0.00928699025573592,0.09108342292211864,0.10213886512889267
0.46,0.09092378025561414,0.015072204029855474,0.09216455473927489,0.16427364543829068
0.47000000000000003,0.09087828020574917,0.02093455539290386,0.09325833701419527,0.22640854732411786
0.48,0.09046380230849517,0.026852130993273594,0.09436491120639293,0.2885435736692849
0.49,0.08967321561915255,0.03280226952666897,0.09548442011961564,0.3506787274240683
0.5,0.08850074464281492,0.03876163585724347,0.09661700790576304,0.41281401160763637
0.51,0.08694202527182529,0.04470629966085944,0.09776282006843537,0.47494942930960754
0.52,0.08499415632882405,0.05061181837967978,0.09892200346609582,0.5370849836916417
0.53,0.08265574639946566,0.05645332425463404,0.10009470631482782,0.5992206779890642
0.54,0.07992695565038284,0.062205615180029705,0.101281078190668,0.6613565155125246
0.55,0.07680953234099958,0.06784324910280441,0.10248127003149517,0.7234924996496895
0.56,0.07330684375232013,0.07334064166773756,0.10369543413845453,0.7856286338669706
0.5700000000000001,0.06942390127182989,0.07867216678945987,0.10492372417689612,0.8477649217112881
0.58,0.06516737939110567,0.08381225981241824,0.10616629517680554,0.9099013668118715
0.59,0.06054562839161359,0.08873552290117025,0.10742330353270409,0.9720379728820958
0.6,0.0555686805144289,0.0934168322855958,0.10869490700299533,1.0341747437213555
0.61,0.05024824943119713,0.09783144696892057,0.10998126470873355,1.0963116832169781
0.62,0.044597722856513436,0.10195511849094051,0.11128253713178946,1.158448795346174
0.63,0.03863214816596579,0.10576420132461284,0.11259888611238732,1.220586084178027
0.64,0.03236821090930002,0.10923576347132445,0.11393047484598698,1.2827235538755242
0.65,0.025824206134446,0.1123476968087507,0.11527746787948343,1.344861208697627
0.66,0.019020002465413688,0.11507882673535826,0.11664003110669573,1.4069990530013814
0.67,0.011976998905239605,0.1174090206473628,0.11801833176311627,1.4691370912440718
0.68,0.0047180743641452045,0.11931929477740014,0.11941253841989004,1.531275327985415
0.6900000000000001,-0.0027324700572384725,0.12079191891937531,0.1208228209769936,1.5934137678897993
0.7000000000000001,-0.010348975969424485,0.12181051856098302,0.12224935065558144,1.6555524157285637
0.71,-0.018104499689445414,0.12236017394429952,0.12369229998946726,1.717691276382324
0.72,-0.025970891207905786,0.12242751557568397,0.12515184281570615,1.7798303548433416
0.73,-0.03391887997410895,0.12200081570903949,0.12662815426424343,1.841969656217937
0.74,-0.041918167314050084,0.1210700753313085,0.12812141074659383,1.9041091857289498
0.75,-0.049937525264437975,0.11962710618594444,0.12963178994351504,1.9662489487182435
0.76,-0.057944901574384824,0.11766560737903456,0.13115947079163692,2.028388950649258
0.77,-0.06590753059511605,0.11518123612376151,0.1327046334690084,2.0905291971096074
0.78,-0.07379204974713488,0.11217167219199278,0.13426745937952173,2.1526696938137277
0.79,-0.08156462122386454,0.10863667565697335,0.13584813113617325,2.21481044660557
0.8,-0.0891910585610204,0.10457813752836043,0.13744683254311843,2.276951461461341
0.81,-0.09663695767197403,0.10000012290015986,0.13906374857647832,2.339092744492298
0.8200000000000001,-0.10386783192129674,0.09490890625347516,0.14069906536385268,2.401234301947586
0.8300000000000001,-0.11084925078165175,0.0893129985793253,0.14235297016249462,2.4633761402171293
0.84,-0.11754698159337586,0.08322316601208132,0.14402565133610015,2.525518265834569
0.85,-0.1239271339215908,0.07665243969126023,0.14571729833016459,2.5876606854802553
0.86,-0.12995630598264357,0.06961611659843356,0.14742810164585712,2.6498034059842857
0.87,-0.13560173259022482,0.062131751146785326,0.14915825281236336,2.711946434329598
0.88,-0.14083143405178336,0.0542191373333083,0.15090794435764457,2.77408977765511
0.89,-0.14561436542796555,0.04590028129766749,0.15267736977756097,2.8362334432589145
0.9,-0.14992056555188196,0.037199364167287724,0.15446672350330548,2.8983774386015226
0.91,-0.1537213051911537,0.028142695105128516,0.15627620086709315,2.9605217713091605
0.92,-0.15698923372402618,0.018758654514779774,0.15810599806604994,3.022666449177116
0.93,-0.1596985236914638,0.009077627396820746,0.1599563121242439,3.084811480173138
0.9400000000000001,-0.16182501258014856,-0.0008680731092994311,0.16182734085280004,-3.1362284347387006
0.9500000000000001,-0.16334634118678998,-0.011044291922417921,0.1637192828080394,-3.0740826728761537
0.96,-0.16424208791219447,-0.021415127838505514,0.16563233724758142,-3.0119365329127694
0.97,-0.1644938983342106,-0.031943038811388165,0.16756670408434804,-2.949790006155938
0.98,-0.16408560941202865,-0.04258895649264692,0.16952258383840602,-2.8876430837228266
0.99,-0.16300336768042187,-0.05331240978487916,0.1715001775865835,-2.82549575653667
1.0,-0.1612357408014196,-0.0640716571193114,0.17349968690979584,-2.763348015323018
1.01,-0.15877382185263142,-0.07482382712566513,0.17552131383801386,-2.7011998506059287
1.02,-0.15561132574602293,-0.08552506731937154,0.17756526079280793,-2.6390512527041152
1.03,-0.15174467718839102,-0.0961307003888923,0.1796317305273987,-2.5769022117270417
1.04,-0.14717308961509845,-0.10659538762421694,0.18172092606414614,-2.514752717570974
1.05,-0.14189863455179874,-0.11687329898676117,0.18383305062940614,-2.452602759914979
1.06,-0.13592630088488733,-0.1269182892810751,0.18596830758568403,-2.3904523282168872
1.07,-0.12926404355022206,-0.13668407985017422,0.18812690036101298,-2.3283014117091962
1.08,-0.12192282118121757,-0.14612444517912215,0.19030903237548508,-2.266149999394943
1.09,-0.1139166222916771,-0.15519340375590973,0.19251490696486193,-2.2039980800435277
1.1,-0.10526247960560788,-0.1638454125048795,0.19474472730119072,-2.141845642186493
1.11,-0.09598047218569143,-0.17203556407612378,0.1969986963103522,-2.07969267411327
1.12,-0.0860937150539489,-0.17971978624461982,0.19927701658646535,-2.017539163866882
1.1300000000000001,-0.0756283360423461,-0.18685504264553676,0.2015798903030741,-1.9553850992396093
1.1400000000000001,-0.06461343965750148,-0.1933995340473296,0.20390751912104121,-1.8932304677686234
1.1500000000000001,-0.053081057792158215,-0.19931289934209265,0.2062601040930737,-1.8310752567315844
1.16,-0.04106608716651394,-0.20455641541334194,0.20863784556480502,-1.7689194531422099
1.17,-0.02860621343470919,-0.20909319502508567,0.21104094307235893,-1.7067630437458128
1.18,-0.015741821945590095,-0.2128883818628712,0.2134695952363201,-1.6446060150148147
1.19,-0.00251589520210101,-0.2159093418476033,0.21592399965203768,-1.582448353144234
1.2,0.011026102879863053,-0.21812584983643798,0.21840435277618808,-1.5202900440471525
1.21,0.02483635575480698,-0.21951027082208852,0.2209108498095238,-1.4581310733501667
1.22,0.03886483585652353,-0.2200377347425366,0.22344368457573693,-1.3959714263888197
1.23,0.05305945875692396,-0.21968630401752134,0.22600304939636662,-1.333811088203024
1.24,0.06736624953991542,-0.21843713293635608,0.22858913496168065,-1.2716500435324756
1.25,0.08172952099599387,-0.21627461803367165,0.23120213019746416,-1.2094882768120623
1.26,0.09609206318389416,-0.213186538605652,0.23384222212764882,-1.1473257721672712
1.27,0.11039534384667216,-0.20916418653925756,0.2365095957327193,-1.085162513409601
1.28,0.12457971911124135,-0.20420248465084187,0.2392044338038346,-1.02299848403198
1.29,0.13858465384290974,-0.19830009275846955,0.2419269167926065,-0.9608336672041957
1.3,0.15234895097012513,-0.1914595007441252,0.2446772226564771,-0.8986680457683439
1.31,0.1658109890397052,-0.18368710789784148,0.24745552669964455,-0.8365016022342965
1.32,0.17890896720957086,-0.17499328787552423,0.2502620014094857,-0.7743343187751979
1.33,0.19158115683468652,-0.16539243864585473,0.25309681628843056,-0.7121661772229938
1.34,0.2037661587528065,-0.15490301684902472,0.2559601376812475,-0.649997159063998
1.35,0.21540316533000115,-0.1435475560411132,0.25885212859770024,-0.5878272454345039
1.36,0.22643222628205165,-0.13135266835253012,0.2617729485305462,-0.5256564171164456
1.37,0.23679451724691972,-0.11834902914700035,0.26472275326884787,-0.4634846545331175
1.3800000000000001,0.24643261004587347,-0.10457134432888848,0.2677016947065754,-0.4013119377449572
1.3900000000000001,0.2552907435367301,-0.09005830001110576,0.27070992064648614,-0.33913824644539947
1.4000000000000001,0.2633150939323033,-0.07485249432320551,0.27374757459927057,-0.2769635599568092
1.41,0.27045404343074936,-0.05900035120936031,0.2768147955779631,-0.2147878572265005
1.42,0.276658445982314,-0.042552016138500764,0.27991171788762287,-0.15261111682285014
1.43,0.28188188899920325,-0.025561233723743148,0.2830384709102969,-0.09043331693151384
1.44,0.28608094980213566,-0.008085207325087211,0.2861951788852875,-0.02825443535175378
1.45,0.28921544558876355,0.009815559212046413,0.2893819606847535,0.033925550507113454
1.46,0.29124867570575097,0.02807743744983263,0.29259892958468414,0.09610666362913942
1.47,0.29214765500801826,0.04663386756882172,0.29584619303129533,0.15828892739502706
1.48,0.29188333709564446,0.06541556850067612,0.2991238524029073,0.2204723655852651
1.49,0.2904308262312814,0.08435076450453766,0.3024320027673737,0.2826570023831029
1.5,0.2877695767587741,0.10336542762601494,0.30577073263514437,0.3448428623773554
1.51,0.28388357886708104,0.12238353539528443,0.3091401237080542,0.4070299705650279
1.52,0.27876152957260486,0.14132734303884997,0.3125402506239461,0.469218352353748
1.53,0.2723969878277127,0.16011766939847655,0.3159711806972448,0.5314080335639954
1.54,0.2647885127035595,0.17867419567107853,0.3194329736556168,0.5935990404311153
1.55,0.2559397836413144,0.19691577600528673,0.3229256813728619,0.6557913996071062
1.56,0.24585970181749642,0.21476075891442864,0.32644934759819877,0.7179851381621661
1.57,0.2345624717262841,0.23212731839212358,0.3300040076821222,0.7801802835859886
1.58,0.22206766214429344,0.24893379354601114,0.33358968829902425,0.8423768637887915
1.59,0.20840024571129745,0.26509903549769065,0.33720640716679007,0.90457490710207
1.6,0.19359061643355538,0.2805427602331418,0.3408541727635941,0.966774442279055
1.61,0.17767458449465373,0.29518590602810735,0.3445329840421414,1.0289754984948676
1.62,0.16069334784184455,0.3089509940175346,0.3482428301416165,1.091178105346354
1.6300000000000001,0.14269344010357105,0.32176249042756033,0.3519836900976198,1.1533822928515869
1.6400000000000001,0.12372665448594684,0.3335471689430576,0.3557555325503926,1.2155880914490176
1.6500000000000001,0.10384994339212338,0.3442344716437912,0.3595583154516487,1.2777955319962677
1.6600000000000001,0.08312529360843302,0.35375686690809566,0.3633919857703528,1.3400046457685426
1.67,0.06161957700460162,0.3620502026550209,0.36725647919780496,1.4022154644566525
1.68,0.03940437680182214,0.36905405327439783,0.3711517198524103,1.4644280201646283
1.69,0.016555789571685776,0.37471205857954737,0.3750776199845361,1.5266423454069145
1.7,-0.006845796759531279,0.37897225310966376,0.3790340796818775,1.5888584731051256
1.71,-0.030715948513364025,0.38178738410849145,0.38302098657577555,1.6510764365843515
1.72,-0.05496645496580867,0.3831152165130078,0.3870382155489521,1.7132962695689953
1.73,-0.07950561953980388,0.3829188233006169,0.39108562844514894,1.775518006178129
1.74,-0.10423857274910207,0.3811668595660154,0.39516307378117754,1.8377416809203548
1.75,-0.129067606043063,0.3778338187295522,0.39927038646191054,1.8999673286881527
1.76,-0.15389252558650388,0.3729002693176635,0.403407387498765,1.9621949847517035
1.77,-0.17861102489452052,0.36635307080290436,0.40757388373224906,2.0244246847521725
1.78,-0.2031190751297181,0.358185567046237,0.4117696675591664,2.0866564646944368
1.79,-0.22731133175913112,0.34839775594758343,0.4159945166650898,2.148890360939248
1.8,-0.251081556160856,0.3369964339821526,0.4202481937627388,2.2111264101948094
1.81,-0.2743230506666561,0.3239953143796335,0.4245304463369127,2.273364649507764
1.82,-0.29692910542712136,0.30941511779087744,0.42884100639665174,2.335605116253571
1.83,-0.3187934553909694,0.2932836343820094,0.4331795902353136,2.3978478481262675
1.84,-0.3398107456003546,0.27563575639880167,0.43754589819927286,2.4600928831275986
1.85,-0.3598770029201952,0.2565134803543544,0.4419396144659652,2.5223402595555067
1.86,-0.378890112242116,0.23596587811036387,0.44636040683201095,2.5845900159919717
1.87,-0.39675029513320675,0.2140490362461751,0.4508079265121711,2.6468421912901894
1.8800000000000001,-0.4133605888369652,0.19082596324002055,0.45528180794989415,2.709096824561082
1.8900000000000001,-0.42862732347907173,0.16636646412291334,0.45978166864022907,2.7713539551591357
1.9000000000000001,-0.44246059528453985,0.14074698240710995,0.46430710896588334,2.8336136226675537
1.9100000000000001,-0.4547747335757977,0.11405040923736666,0.4688577120472144,2.8958758668827214
1.92,-0.4654887592938417,0.08636585986382052,0.4734330436069468,2.9581407277979808
1.93,-0.4745268327671962,0.05778841768962603,0.47803265185041205,3.0204082455867107
1.94,-0.48181868844640263,0.02841884630382686,0.4826560673621043,3.0826784605847086
1.95,-0.48730005432551365,-0.0016367299303445514,0.487302803019348,-3.1382338939077123
1.96,-0.49091305378688355,-0.03226717600018772,0.491972353923867,-3.075958162926387
1.97,-0.4926065876317015,-0.06335672618747228,0.49666419735203743,-3.013679612940526
1.98,-0.49233669409642355,-0.09478539277543199,0.5013777927245964,-2.9513982031547656
1.99,-0.4900668847046861,-0.12642940230099903,0.5061125815965692,-2.889113892709837
2.0,-0.4857684538655405,-0.15816165797435222,0.5108679876681584,-2.8268266407043305
2.0100000000000002,-0.47942076020198254,-0.1898522267301428,0.51564341681732,-2.764536406217123
2.02,-0.4710114776787533,-0.22136884922032923,0.5204382571547326,-2.7022431483304725
2.0300000000000002,-0.46053681469518404,-0.2525774709082871,0.525251879101839,-2.6399468261537544
2.04,-0.4480016994173061,-0.28334279227865833,0.5300836354926091,-2.5776473988478377
2.05,-0.43341992974333976,-0.31352883603816917,0.5349328616996443,-2.515344825650071
2.06,-0.41681428642773566,-0.3429995290502766,0.5397988757852076,-2.4530390658998753
2.07,-0.3982166080308198,-0.3716192966218934,0.5446809786777232,-2.3907300790649146
2.08,-0.3776678265133686,-0.39925366664447387,0.5495784543742491,-2.328417824767824
2.09,-0.3552179624576224,-0.42576988098527907,0.5544905701693794,-2.2661022628134755
2.1,-0.33092607906777183,-0.45103751142852405,0.559416576910986,-2.2037833532167492
2.11,-0.3048601942831843,-0.47492907738114803,0.5643557092831518,-2.1414610562307916
2.12,-0.2770971505258752,-0.49732066248492074,0.569307186116599,-2.07913533237572
2.13,-0.24772244179919653,-0.5180925272162347,0.5742702107268504,-2.0168061424677486
2.14,-0.21682999805657174,-0.5371297145079226,0.5792439712803019,-1.954473447648706
2.15,-0.1845219269664496,-0.5543226453944108,0.5842276411883209,-1.892137209415895
2.16,-0.1509082134115127,-0.5695677016630508,0.5892203795294123,-1.829797389652271
2.17,-0.11610637727553856,-0.5827677924910605,0.5942213314994282,-1.7674539506568918
2.18,-0.08024109028909605,-0.5938329020596007,0.5992296288897189,-1.705106855175599
2.19,-0.043443752924344964,-0.6026806151644624,0.6042443905930499,-1.6427560664318899
2.2,-0.005852032548425284,-0.6092366178869235,0.6092647231370327,-1.5804015481579297
2.21,0.0323906357369277,-0.6134351704487493,0.6142897212447304,-1.518043264625664
