time,x,y,radius,mu,omega
0.0,0.07732148933168115,0.054233230424757126,0.09444498925180776,1.0,12.566370614359172
0.01,0.07127265852818218,0.06448723011691074,0.09611656830030013,1.0,12.566370614359172
0.02,0.06387509632852903,0.07408253125058742,0.09781742875108261,1.0,12.566370614359172
0.03,0.05519825012586663,0.08284304949668739,0.0995480671176911,1.0,12.566370614359172
0.04,0.04533439795319177,0.09059968707995684,0.10130898744319014,1.0,12.566370614359172
0.05,0.034397996577914584,0.09719327370455083,0.10310070136513115,1.0,12.566370614359172
0.06,0.022524653135120264,0.10247745476898781,0.10492372817807909,1.0,12.566370614359172
0.07,0.009869723167511973,0.10632147897778456,0.10677859489348418,1.0,12.566370614359172
0.08,-0.0033934560049296847,0.10861283733700937,0.10866583629666249,1.0,12.566370614359172
0.09,-0.017075681531275613,0.10925970616161797,0.1105859950006358,1.0,12.566370614359172
0.1,-0.030974329725134794,0.10819314814104228,0.11253962149656843,1.0,12.566370614359172
0.11,-0.04487610204672915,0.10536902771162605,0.11452727420052337,1.0,12.566370614359172
0.12,-0.05856003942981583,0.1007695999634027,0.11654951949624587,1.0,12.566370614359172
0.13,-0.0718007665490525,0.09440473604502973,0.11860693177366688,1.0,12.566370614359172
0.14,-0.0843719225757718,0.08631275249230126,0.12070009346280261,1.0,12.566370614359172
0.15,-0.09604973043302743,0.07656081704770323,0.12282959506270923,1.0,12.566370614359172
0.16,-0.10661665262502239,0.06524490930362978,0.1249960351651346,1.0,12.566370614359172
0.17,-0.11586507846617337,0.052489320820806144,0.1272000204724906,1.0,12.566370614359172
0.18,-0.12360098504779142,0.03844568616547715,0.12944216580974963,1.0,12.566370614359172
0.19,-0.1296475126229873,0.023291543482858276,0.13172309412985078,1.0,12.566370614359172
0.2,-0.13384839431948395,0.007228430679640411,0.13404343651217848,1.0,12.566370614359172
0.21,-0.13607118025000323,-0.009520469083728177,0.13640383215365723,1.0,12.566370614359172
0.22,-0.13621019721203567,-0.02671311120511925,0.1388049283519815,1.0,12.566370614359172
0.23,-0.13418918727013796,-0.04409177374950164,0.1412473804804797,1.0,12.566370614359172
0.24,-0.1299635715964757,-0.06138660541224407,0.14373185195408433,1.0,12.566370614359172
0.25,-0.12352228999560512,-0.07831949377301142,0.14625901418585843,1.0,12.566370614359172
0.26,-0.11488917152799596,-0.09460820359238592,0.14882954653350128,1.0,12.566370614359172
0.27,-0.10412379752802547,-0.10997072877988005,0.15144413623523093,1.0,12.566370614359172
0.28,-0.09132182502469109,-0.12412979621720532,0.15410347833441404,1.0,12.566370614359172
0.29,-0.07661474604015633,-0.136817454966201,0.15680827559228527,1.0,12.566370614359172
0.3,-0.06016906637065622,-0.14777968062986374,0.15955923838807,1.0,12.566370614359172
0.31,-0.042184896140502914,-0.15678092186011755,0.1623570846057951,1.0,12.566370614359172
0.32,-0.022893953544434378,-0.1636085142976395,0.16520253950704156,1.0,12.566370614359172
0.33,-0.0025569926264772218,-0.16807688665343545,0.168096335588863,1.0,12.566370614359172
0.34,0.018539324454708045,-0.1700314842495068,0.171039212426061,1.0,12.566370614359172
0.35000000000000003,0.04008608060075117,-0.16935233716037415,0.17403191649697755,1.0,12.566370614359172
0.36,0.06175624282390208,-0.1659572031537289,0.1770752009919311,1.0,12.566370614359172
0.37,0.08320923840463416,-0.15980421991323193,0.18016982560338962,1.0,12.566370614359172
0.38,0.1040959106313087,-0.15089400651585858,0.18331655629694055,1.0,12.566370614359172
0.39,0.12406378844232567,-0.13927116078644558,0.1865161650620828,1.0,12.566370614359172
0.4,0.14276259689220339,-0.12502510689929675,0.1897694296418323,1.0,12.566370614359172
0.41000000000000003,0.15984992886564303,-0.10829025635699244,0.19307713324009726,1.0,12.566370614359172
0.42,0.17499699300503752,-0.08924545514675856,0.19644006420574506,1.0,12.566370614359172
0.43,0.18789434852271747,-0.06811270033332721,0.19985901569224754,1.0,12.566370614359172
0.44,0.19825753455114098,-0.04515512045547593,0.2033347852917582,1.0,12.566370614359172
0.45,0.20583250003757664,-0.020674225697127315,0.20686817464243923,1.0,12.566370614359172
0.46,0.21040073999151565,0.004993554264883005,0.21045998900782473,1.0,12.566370614359172
0.47000000000000003,0.21178404519963745,0.03148101475490693,0.2141110368269715,1.0,12.566370614359172
0.48,0.2098487753691748,0.05839496091396337,0.21782212923412003,1.0,12.566370614359172
0.49,0.20450957005710532,0.08532157901224582,0.22159407954655508,1.0,12.566370614359172
0.5,0.19573241767639532,0.11183232906394742,0.22542770271932838,1.0,12.566370614359172
0.51,0.18353701030301983,0.1374902828116245,0.22932381476547806,1.0,12.566370614359172
0.52,0.16799832087465588,0.16185682123761946,0.23328323214035454,1.0,12.566370614359172
0.53,0.1492473495843119,0.18449859686885006,0.23730677108864015,1.0,12.566370614359172
0.54,0.12747099771526155,0.20499465844942744,0.24139524695263082,1.0,12.566370614359172
0.55,0.1029110396989382,0.22294362923148806,0.24554947344033065,1.0,12.566370614359172
0.56,0.07586217764357975,0.23797082533104735,0.2497702618518984,1.0,12.566370614359172
0.5700000000000001,0.04666917679598083,0.24973519744662515,0.2540584202629768,1.0,12.566370614359172
0.58,0.015723095160359645,0.2579359778562897,0.2584147526634307,1.0,12.566370614359172
0.59,-0.01654336441070817,0.26231891508184013,0.2628400580500224,1.0,12.566370614359172
0.6,-0.04966133614944822,0.26268198099874873,0.2673351294715595,1.0,12.566370614359172
0.61,-0.08313204878118391,0.2588804395102885,0.2719007530250648,1.0,12.566370614359172
0.62,-0.11643378520606949,0.2508311721968377,0.2765377068015369,1.0,12.566370614359172
