time,x,y,radius,mu,omega
0.0,-0.05910069965543806,-0.14948970249768534,0.16074844898974536,1.0,3.141592653589793
0.01,-0.054980077481923614,-0.15280267452667912,0.16239293784652262,1.0,3.141592653589793
0.02,-0.050714941606739776,-0.1560176550412951,0.1640533876113492,1.0,3.141592653589793
0.03,-0.046307002660824076,-0.15912909863808639,0.16572992647316112,1.0,3.141592653589793
0.04,-0.04175816574436628,-0.1621314599698372,0.16742268280697475,1.0,3.141592653589793
0.05,-0.037070532404257665,-0.16501920001349493,0.16913178514350566,1.0,3.141592653589793
0.06,-0.032246402429997933,-0.16778679246878653,0.17085736213766445,1.0,3.141592653589793
0.07,-0.02728827546179735,-0.1704287302831422,0.17259954253590293,1.0,3.141592653589793
0.08,-0.022198852404675465,-0.172939532298298,0.17435845514238368,1.0,3.141592653589793
0.09,-0.016981036642430034,-0.17531375001369365,0.17613422878394597,1.0,3.141592653589793
0.1,-0.011637935045430942,-0.1775459744615282,0.1779269922738405,1.0,3.141592653589793
0.11,-0.006172858766284023,-0.17963084318807973,0.17973687437420563,1.0,3.141592653589793
0.12,-0.0005893238175090623,-0.18156304733563894,0.18156400375725731,1.0,3.141592653589793
0.13,0.0051089485745152005,-0.18333733881914996,0.1834085089651645,1.0,3.141592653589793
0.14,0.010918031844968142,-0.18494853759139468,0.18527051836858252,1.0,3.141592653589793
0.15,0.016833794200867856,-0.18639153899030053,0.1871501601238158,1.0,3.141592653589793
0.16,0.02285189897157929,-0.18766132116169507,0.18904756212858215,1.0,3.141592653589793
0.17,0.028967805204766724,-0.18875295255057603,0.19096285197634988,1.0,3.141592653589793
0.18,0.03517676851285006,-0.18966159945371067,0.19289615690922,1.0,3.141592653589793
0.19,0.041473842174857084,-0.19038253362612556,0.19484760376932478,1.0,3.141592653589793
0.2,0.04785387849838616,-0.19091113993379713,0.1968173189487149,1.0,3.141592653589793
0.21,0.05431153044620583,-0.19124292404460366,0.1988054283377071,1.0,3.141592653589793
0.22,0.06084125353181948,-0.19137352014935308,0.2008120572716638,1.0,3.141592653589793
0.23,0.06743730798811408,-0.1912986987044569,0.20283733047617822,1.0,3.141592653589793
0.24,0.07409376121299245,-0.19101437418757977,0.20488137201063616,1.0,3.141592653589793
0.25,0.08080449049565828,-0.19051661285735652,0.20694430521012844,1.0,3.141592653589793
0.26,0.08756318602698167,-0.18980164050803539,0.20902625262568647,1.0,3.141592653589793
0.27,0.09436335419712127,-0.18886585020967633,0.21112733596281477,1.0,3.141592653589793
0.28,0.10119832118331605,-0.18770581002430922,0.2132476760182949,1.0,3.141592653589793
0.29,0.10806123683048569,-0.18631827068823625,0.21538739261523457,1.0,3.141592653589793
0.3,0.11494507882699394,-0.18470017325044943,0.21754660453633812,1.0,3.141592653589793
0.31,0.12184265717763329,-0.18284865665692532,0.21972542945537377,1.0,3.141592653589793
0.32,0.12874661897558215,-0.18076106527035682,0.22192398386681403,1.0,3.141592653589793
0.33,0.13564945347476806,-0.17843495631468725,0.22414238301362732,1.0,3.141592653589793
0.34,0.14254349746374115,-0.17586810723362314,0.22638074081319892,1.0,3.141592653589793
0.35000000000000003,0.1494209409418221,-0.17305852295212215,0.22863916978136026,1.0,3.141592653589793
0.36,0.15627383309793796,-0.17000444302968012,0.23091778095450755,1.0,3.141592653589793
0.37,0.16309408859219707,-0.16670434869407763,0.23321668380979105,1.0,3.141592653589793
0.38,0.16987349413988148,-0.1631569697440918,0.23553598618335764,1.0,3.141592653589793
0.39,0.17660371539715192,-0.15936129130953441,0.23787579418663118,1.0,3.141592653589793
0.4,0.18327630414736587,-0.15531656045684236,0.24023621212061627,1.0,3.141592653589793
0.41000000000000003,0.1898827057865046,-0.15102229262832267,0.24261734238821223,1.0,3.141592653589793
0.42,0.19641426710578958,-0.14647827790304122,0.24501928540452694,1.0,3.141592653589793
0.43,0.20286224436914338,-0.14168458706724288,0.24744213950518043,1.0,3.141592653589793
0.44,0.2092178116827142,-0.13664157748210273,0.24988600085259108,1.0,3.141592653589793
0.45,0.2154720696532378,-0.13134989873653097,0.2523509633402391,1.0,3.141592653589793
0.46,0.22161605433155543,-0.12581049807269207,0.2548371184949041,1.0,3.141592653589793
0.47000000000000003,0.22764074643714077,-0.12002462557185024,0.25734455537687495,1.0,3.141592653589793
0.48,0.2335370808590164,-0.11399383908811858,0.25987336047813486,1.0,3.141592653589793
0.49,0.23929595642795565,-0.10772000891767089,0.26242361761852373,1.0,3.141592653589793
0.5,0.24490824595437563,-0.10120532219097178,0.2649954078398857,1.0,3.141592653589793
0.51,0.2503648065258265,-0.0944522869755938,0.2675888092982112,1.0,3.141592653589793
0.52,0.25565649005747465,-0.0874637360772205,0.2702038971537852,1.0,3.141592653589793
0.53,0.2607741540884623,-0.08024283052648208,0.2728407434593572,1.0,3.141592653589793
0.54,0.2657086728165031,-0.07279306273933604,0.27549941704635317,1.0,3.141592653589793
0.55,0.2704509483625459,-0.06511825933878988,0.2781799834091489,1.0,3.141592653589793
0.56,0.2749919222568005,-0.05722258362586719,0.28088250458743347,1.0,3.141592653589793
0.5700000000000001,0.27932258713688296,-0.04911053768784219,0.28360703904668966,1.0,3.141592653589793
0.58,0.28343399864828744,-0.04078696413191284,0.2863536415568263,1.0,3.141592653589793
0.59,0.2873172875368453,-0.03225704743264847,0.2891223630689995,1.0,3.141592653589793
0.6,0.290963671922275,-0.023526314881735746,0.29191325059066414,1.0,3.141592653589793
0.61,0.2943644697413704,-0.014600637128757069,0.2947263470589011,1.0,3.141592653589793
0.62,0.2975111113488156,-0.0054862283019690965,0.2975616912120723,1.0,3.141592653589793
0.63,0.30039515226305136,0.003810354301694097,0.30041931745985684,1.0,3.141592653589793
0.64,0.303008286044058,0.01328221096788725,0.30329925575172967,1.0,3.141592653589793
0.65,0.305342357289354,0.02292210076757749,0.306201531443947,1.0,3.141592653589793
0.66,0.30738937473395156,0.0327224432210817,0.3091261651651096,1.0,3.141592653589793
0.67,0.3091415244394467,0.04267532043291682,0.3120731726803782,1.0,3.141592653589793
0.68,0.3105911830568671,0.05277247970657827,0.3150425647544242,1.0,3.141592653589793
0.6900000000000001,0.31173093114734557,0.06300533664795113,0.3180343470132004,1.0,3.141592653589793
0.7000000000000001,0.3125535665441385,0.07336497876562052,0.32104851980462573,1.0,3.141592653589793
0.71,0.3130521177389668,0.08384216957588177,0.3240850780582822,1.0,3.141592653589793
0.72,0.3132198572751193,0.09442735321975668,0.32714401114422803,1.0,3.141592653589793
0.73,0.31305031512923304,0.10511065959879964,0.3302253027310397,1.0,3.141592653589793
0.74,0.31253729206314523,0.11588191003592546,0.33332893064319824,1.0,3.141592653589793
0.75,0.3116748729267057,0.12673062346690975,0.3364548667179445,1.0,3.141592653589793
0.76,0.31045743989194335,0.1376460231676026,0.33960307666173434,1.0,3.141592653589793
0.77,0.3088796855984992,0.14861704402125567,0.34277351990642974,1.0,3.141592653589793
0.78,0.30693662618977263,0.15963234032969284,0.3459661494653705,1.0,3.141592653589793
0.79,0.3046236142187776,0.17068029417135502,0.3491809117894776,1.0,3.141592653589793
0.8,0.3019363514022754,0.18174902430851908,0.3524177466235448,1.0,3.141592653589793
0.81,0.2988709012013383,0.19282639564523138,0.35567658686288506,1.0,3.141592653589793
0.8200000000000001,0.2954237012061087,0.20390002923670628,0.3589573584105024,1.0,3.141592653589793
0.8300000000000001,0.29159157530215274,0.21495731285012068,0.36225998003496834,1.0,3.141592653589793
0.84,0.2873717455954635,0.22598541207588663,0.3655843632291897,1.0,3.141592653589793
0.85,0.28276184407285676,0.23697128198760578,0.3689304120702601,1.0,3.141592653589793
0.86,0.2777599239742121,0.2479016793480033,0.3722980230805965,1.0,3.141592653589793
