time,base_height,joint_0_pos,joint_1_pos,joint_2_pos,joint_3_pos,joint_4_pos,joint_5_pos,joint_6_pos,joint_7_pos,joint_8_pos,joint_9_pos,joint_10_pos,joint_11_pos
0.0375,-0.2854350634574234,0.09189810620838282,-0.32469415599533974,0.14508950264367432,-0.09277339438946136,0.3274716588573453,-0.14705780743193006,-0.09213937991649426,0.3255582008418004,-0.1484465372381518,0.09258126523863888,-0.32510695074862384,0.14598271010574426
0.07916666666666666,-0.22693153468838262,0.21566455151564728,-0.3763095426938293,0.13498451284287316,-0.21595078507052187,0.3771584934577045,-0.1357279077126722,-0.21580119245072962,0.37655736203306317,-0.13639534756613494,0.21597107870616233,-0.3766906506544023,0.13534116763209134
0.12083333333333333,-0.18265616439968488,0.3250895779271011,-0.3981063070464054,0.11360000048035696,-0.3250592391827467,0.39804591713235965,-0.11352306485520763,-0.3250603178540657,0.3980945857433607,-0.11345512266645665,0.32504180919369696,-0.39808533192631246,0.11355859256881898
0.1625,-0.15538569422302495,0.41175411023374453,-0.39237011914757775,0.08444930135808708,-0.41192174042004964,0.3924038825175278,-0.08499294709963869,-0.41197659836791806,0.392326884713514,-0.08542315400760395,0.41203888824002616,-0.39247127480338995,0.08476146982252805
0.20416666666666666,-0.14557207574991915,0.4708291113619105,-0.35995729316996017,0.04960721205913655,-0.4708244007619763,0.35984899489327554,-0.04964942031589685,-0.47085004411339043,0.3599178198382293,-0.04967366925839795,0.47083485461023883,-0.35994639501686304,0.049633833491406175
0.24583333333333332,-0.153061196895187,0.49760863696041713,-0.3029865657102291,0.011355630663719344,-0.49758877427657944,0.3028467184518115,-0.011380011295866252,-0.4976238262340686,0.30293837835547743,-0.01138222185045358,0.49759246926722867,-0.3029658877064677,0.011383825246614875
0.2875,-0.17764502475174104,0.4904612170779587,-0.22535242244773918,-0.02766548159234379,-0.4904442557294576,0.22522490374562124,0.02763822822662733,-0.4904770855509331,0.22531137914971738,0.02763379917779208,0.4904521689536114,-0.2253296685698914,-0.027638661961120848
0.32916666666666666,-0.21983923403943237,0.44996477320097605,-0.13228126432049672,-0.06477499621679719,-0.44997685250562824,0.13248425568218522,0.06498227052631103,-0.44996267370930276,0.13226446809747713,0.06497683318720102,0.44989866733639605,-0.1323214984361613,-0.06487753646331507
0.37083333333333335,-0.27524655823156985,0.3789241034147021,-0.030366853588750072,-0.09754352806404239,-0.37886656386508866,0.03067379457697505,0.09821369830120659,-0.37886954886063084,0.03040262512642219,0.09819946352072881,0.37869140659201256,-0.03031953249157213,-0.09791982260057543
0.4125,-0.32285692746559275,0.28164177558706,0.07378216843752337,-0.12364412365151257,-0.28172293032883805,-0.07320451653853154,0.12350618763863358,-0.28179186266385015,-0.07375729613598231,0.12366417232630994,0.2818473108580323,0.07387579304687426,-0.1239727696430082
0.45416666666666666,-0.3436675582631885,0.16552074501040295,0.17287737798951722,-0.1412723029112383,-0.16553630853548068,-0.17230563003265006,0.14117369951998235,-0.16551885284768753,-0.17279125943310605,0.14120877915507316,0.16546808967514529,0.17277957576941158,-0.1413538552825588
0.49583333333333335,-0.34129606372797605,0.03779298936791002,0.25995471145249216,-0.14932080968987171,-0.037903029315273236,-0.26031424115166074,0.14940573550239208,-0.03804070515553682,-0.25994598664311264,0.1493980683585701,0.0379159105570746,0.26003607372129567,-0.14929313188498028
0.5375,-0.3347334809115832,-0.09220567477826658,0.3296344534015703,-0.1471547129964324,0.09212677639280183,-0.32949078688468597,0.14720595874273532,0.09205093192756778,-0.32956766581060626,0.14723303741446891,-0.09216164427690918,0.3295917928647747,-0.1472567159982673
0.5791666666666666,-0.3233358907905824,-0.2159824886291991,0.37658791546601345,-0.13499823396724306,0.21606754413191379,-0.3768411513982036,0.13482085275746275,0.2159660117414507,-0.37660436405143427,0.1348857678874202,-0.21605916363645222,0.37662741733893,-0.13478613033853187
0.6208333333333333,-0.30865423280060306,-0.32505288026305057,0.39805308851808385,-0.11360706488834164,0.32506578420252874,-0.39816466419079277,0.11359685109699087,0.3250277142263759,-0.3980481736532739,0.1135921202301249,-0.32507033331528445,0.39807846966436,-0.11352581871813262
0.6625,-0.2989392589726593,-0.4119831874825697,0.3923495758072395,-0.0844971134919253,0.41199101615367484,-0.3924164215460251,0.08447940586552387,0.4119680411795043,-0.392353387365259,0.08448846456129398,-0.41200749391085695,0.3923659502298624,-0.08445432158587862
0.7041666666666666,-0.29915528553258897,-0.47084135939383226,0.35988824793367585,-0.04962975133975733,0.47086889234103213,-0.35997581600559053,0.04958234529117025,0.47083078514425697,-0.35989353150011466,0.04960873890149944,-0.47087257089237683,0.35991256825117257,-0.04956783411089572
0.7458333333333333,-0.304096466941983,-0.4976151378873297,0.3029656839668791,-0.01146249388647755,0.49842243216616494,-0.3031516411770664,0.011464409888134266,0.49747573900990744,-0.3028577569783733,0.011401563044893929,-0.4976054381035668,0.3029441779610752,-0.011354940368630302
0.7875,-0.2989540877052726,-0.49046273771491655,0.22527872137665614,0.027678602605801805,0.489897069113332,-0.22510423728691603,-0.027822126779961424,0.49061297677213384,-0.2253899863991112,-0.02773408098174937,-0.4904858267893413,0.22530968815554098,0.027679898215643938
0.8291666666666666,-0.30027730310464523,-0.4499062389604189,0.13231087432662328,0.06479813037879713,0.44982188957843044,-0.13234723306398435,-0.06485652638724292,0.4499312514103173,-0.13232616849086837,-0.06485254351833777,-0.4499206030485748,0.13233157978284876,0.06486100584528234
